State[0],Postcode[1],District[2],Latitude[3],Longitude[4]
Perlis,01000,Kangar,6.444320,100.193318
Perlis,02000,Kuala Perlis,6.397091,100.138336
Perlis,02100,Padang Besar,6.662422,100.303597
Perlis,02200,Kaki Bukit,6.636759,100.212493
Perlis,02400,Kangar,6.444320,100.193318
Perlis,02450,Kangar,6.444320,100.193318
Perlis,02500,Kangar,6.444320,100.193318
Perlis,02600,Arau,6.442711,100.286830
Perlis,02700,Simpang Ampat,6.338739,100.156036
Perlis,02800,Simpang Ampat,6.338739,100.156036
Kedah,05000,Alor Setar,6.11694,100.368036
Kedah,05050,Alor Setar,6.102877,100.352596
Kedah,05100,Alor Setar,6.133673,100.380671
Kedah,05150,Alor Setar,6.152454,100.355404
Kedah,05200,Alor Setar,6.122,100.376459
Kedah,05250,Alor Setar,6.154793,100.36944
Kedah,05300,Alor Setar,6.110003,100.389095
Kedah,05350,Alor Setar,6.16225,100.389095
Kedah,05400,Alor Setar,6.063129,100.383479
Kedah,05460,Alor Setar,6.151000,100.379572
Kedah,06000,Jitra,6.259999,100.42585
Kedah,06010,Changloon,6.416255,100.518362
Kedah,06050,Bukit Kayu Hitam,6.491852,100.417181
Kedah,06100,Kodiang,6.377948,100.338562
Kedah,06150,Ayer Hitam,6.295403,100.27123
Kedah,06200,Kepala Batas,6.214319,100.400328
Kedah,06250,Alor Setar,6.132421,100.310501
Kedah,06300,Kuala Nerang,6.278396,100.597136
Kedah,06350,Pokok Sena,6.132421,100.310501
Kedah,06400,Pokok Sena,6.151111,100.687246
Kedah,06500,Langgar,6.140907,100.411563
Kedah,06550,Alor Setar,6.183161,100.389095
Kedah,06570,Alor Setar,6.210743,100.316113
Kedah,06600,Kuala Kedah,6.090632,100.310501
Kedah,06650,Simpang Empat,6.036935,100.389095
Kedah,06660,Alor Setar,6.090632,100.310501
Kedah,06700,Pendang,6.007287,100.574622
Kedah,06710,Sik,6.001763,100.723878
Kedah,06720,Pendang,5.926937,100.477754
Kedah,06750,Pendang,5.992152,100.597244
Kedah,06800,Kota Sarang Semut,5.938018,100.383479
Kedah,06900,Yan,5.992152,100.597244
Kedah,07000,Langkawi,6.357605,99.767869
Kedah,08000,Sungai Petani, 5.636401,100.487788
Kedah,08010,Sungai Petani,5.636401,100.487788
Kedah,08100,Bedong,5.708105,100.450896
Kedah,08200,Sik,6.215204,100.355404
Kedah,08210,Sik,5.837342,100.754885
Kedah,08300,Gurun,5.779715,100.507114
Kedah,08400,Merbok,5.688992,100.361018
Kedah,08500,Kota Kuala Muda,5.617034,100.327337
Kedah,08600,Sungai Petani,5.589044,100.445276
Kedah,08700,Jeniang,5.792228,100.670344
Kedah,08800,Gurun,5.857982,100.449717
Kedah,09000,Kulim,5.402153,100.572832
Kedah,09010,Kulim,5.488104,100.597138
Kedah,09020,Kulim,5.488104,100.597136
Kedah,09100,Baling,5.732289,100.822573
Kedah,09200,Kupang,5.596642,100.879017
Kedah,09300,Kuala Ketil,5.682807,100.698516
Kedah,09310,Kuala Ketil,5.606442,100.768983
Kedah,09400,Padang Serai,5.529434,100.597136
Kedah,09600,Lunas,5.457723,100.563368
Kedah,09700,Karangan,5.403945,100.687246
Kedah,09800,Serdang,5.239982,100.64218
Penang,10000,Pulau Pinang,5.408941,100.325934
Penang,10100,Pulau Pinang,5.41464,100.332248
Penang,10200,Pulau Pinang,5.43573,100.344176
Penang,10300,Pulau Pinang,5.415118,100.339284
Penang,10400,Pulau Pinang,5.419313,100.323128
Penang,11000,Balik Pulau,5.372487,100.219675
Penang,11010,Balik Pulau,5.345315,100.198343
Penang,11020,Balik Pulau,5.344565,100.243189
Penang,11050,Pulau Pinang,5.47349,100.276659
Penang,11060,Pulau Pinang,5.371709,100.27754
Penang,11100,Batu Feringghi,5.467936,100.248352
Penang,11200,Tanjong Bungah,5.467936,100.248352
Penang,11400,Pulau Pinang,5.406887,100.295071
Penang,11500,Ayer Itam,5.395585,100.276839
Penang,11600,Jelutong,5.395585,100.276839
Penang,11700,Gelugor,5.364249,100.299279
Penang,11900,Bayan Lepas,5.313073,100.276839
Penang,11910,Bayan Lepas,5.257984,100.181532
Penang,11920,Bayan Lepas,5.257984,100.181532
Penang,11950,Bayan Lepas,5.290493,100.240386
Penang,11960,Batu Maung,5.282161,100.276839
Penang,12000,Butterworth,5.401914,100.368484
Penang,12100,Butterworth,5.397063,100.372383
Penang,12200,Butterworth,5.410752,100.370844
Penang,12300,Butterworth,5.427357,100.380671
Penang,13000,Butterworth,5.44322,100.379138
Penang,13020,Butterworth,5.44322,100.379138
Penang,13050,Butterworth,5.46594,100.389095
Penang,13100,Penaga,5.506885,100.411563
Penang,13110,Penaga,5.519138,100.462557
Penang,13200,Kepala Batas,5.510457,100.424895
Penang,13220,Kepala Batas,5.475488,100.434037
Penang,13300,Tasek Gelugor,5.494767,100.512738
Penang,13310,Tasek Gelugor,5.474699,100.479001
Penang,13400,Butterworth,5.424437,100.400328
Penang,13500,Permatang Pauh,5.411196,100.41999
Penang,13600,Perai,5.36481,100.396843
Penang,13700,Perai,5.389663,100.4183
Penang,13800,Butterworth,5.45522,100.411563
Penang,14000,Bukit Mertajam,5.334135,100.470143
Penang,14020,Bukit Mertajam,5.335297,100.499664
Penang,14100,Simpang Ampat,5.274097,100.450896
Penang,14110,Simpang Ampat,5.237795,100.467758
Penang,14120,Simpang Ampat,5.278387,100.501491
Penang,14200,Sungai Jawi,5.221435,100.494556
Penang,14300,Nibong Tebal,5.181597,100.486015
Penang,14310,Nibong Tebal,5.166389,100.434037
Penang,14320,Nibong Tebal,5.151809,100.383479
Penang,14400,Kubang Semang,5.151809,100.383479
Kelantan,15000,Kota Bharu,6.1253,102.2461
Kelantan,15050,Kota Bharu,6.1212,102.2459
Kelantan,15100,Kota Bharu,6.0706,102.2458
Kelantan,15150,Kota Bharu,6.1187,102.2508
Kelantan,15159,Kota Bharu,6.122,102.2523
Kelantan,15200,Kota Bharu,6.105,102.251
Kelantan,15300,Kota Bharu,6.1159,102.2452
Kelantan,15350,Kota Bharu,6.1118,102.249
Kelantan,15400,Kota Bharu,6.1185,102.2489
Kelantan,15500,Kota Bharu,6.122,102.2523
Kelantan,15502,Kota Bharu,6.122,102.2523
Kelantan,15503,Kota Bharu,6.122,102.2523
Kelantan,15504,Kota Bharu,6.122,102.2523
Kelantan,15505,Kota Bharu,6.122,102.2523
Kelantan,15506,Kota Bharu,6.122,102.2523
Kelantan,15508,Kota Bharu,6.122,102.2523
Kelantan,15512,Kota Bharu,6.122,102.2523
Kelantan,15514,Kota Bharu,6.122,102.2523
Kelantan,15516,Kota Bharu,6.122,102.2523
Kelantan,15517,Kota Bharu,6.122,102.2523
Kelantan,15518,Kota Bharu,6.122,102.2523
Kelantan,15519,Kota Bharu,5.8081,102.1509
Kelantan,15520,Kota Bharu,6.122,102.2523
Kelantan,15524,Kota Bharu,6.122,102.2523
Kelantan,15529,Kota Bharu,6.122,102.2523
Kelantan,15532,Kota Bharu,6.122,102.2523
Kelantan,15534,Kota Bharu,6.122,102.2523
Kelantan,15536,Kota Bharu,6.122,102.2523
Kelantan,15538,Kota Bharu,6.122,102.2523
Kelantan,15540,Kota Bharu,6.122,102.2523
Kelantan,15546,Kota Bharu,6.122,102.2523
Kelantan,15548,Kota Bharu,6.122,102.2523
Kelantan,15550,Kota Bharu,6.122,102.2523
Kelantan,15551,Kota Bharu,5.8092,102.1515
Kelantan,15556,Kota Bharu,6.122,102.2523
Kelantan,15558,Kota Bharu,6.122,102.2523
Kelantan,15560,Kota Bharu,6.122,102.2523
Kelantan,15564,Kota Bharu,6.1093,102.2382
Kelantan,15570,Kota Bharu,6.122,102.2523
Kelantan,15572,Kota Bharu,6.122,102.2523
Kelantan,15576,Kota Bharu,6.122,102.2523
Kelantan,15578,Kota Bharu,6.122,102.2523
Kelantan,15582,Kota Bharu,6.122,102.2523
Kelantan,15586,Kota Bharu,6.1237,102.2468
Kelantan,15590,Kota Bharu,6.122,102.2523
Kelantan,15592,Kota Bharu,6.122,102.2523
Kelantan,15594,Kota Bharu,6.122,102.2523
Kelantan,15596,Kota Bharu,6.122,102.2523
Kelantan,15600,Kota Bharu,6.1303,102.2369
Kelantan,15604,Kota Bharu,6.122,102.2523
Kelantan,15608,Kota Bharu,5.9453,102.2339
Kelantan,15609,Kota Bharu,6.122,102.2523
Kelantan,15612,Kota Bharu,5.826,102.225
Kelantan,15614,Kota Bharu,6.122,102.2523
Kelantan,15616,Kota Bharu,6.1152,102.2414
Kelantan,15622,Kota Bharu,6.122,102.2523
Kelantan,15623,Kota Bharu,6.122,102.2523
Kelantan,15626,Kota Bharu,6.122,102.2523
Kelantan,15628,Kota Bharu,6.119,102.3573
Kelantan,15630,Kota Bharu,6.1996,102.1696
Kelantan,15632,Kota Bharu,6.1012,102.2653
Kelantan,15634,Kota Bharu,6.122,102.2523
Kelantan,15644,Kota Bharu,6.122,102.2523
Kelantan,15646,Kota Bharu,6.122,102.2523
Kelantan,15648,Kota Bharu,6.122,102.2523
Kelantan,15658,Kota Bharu,6.122,102.2523
Kelantan,15660,Kota Bharu,6.122,102.2523
Kelantan,15661,Kota Bharu,6.122,102.2523
Kelantan,15664,Kota Bharu,6.122,102.2523
Kelantan,15670,Kota Bharu,6.122,102.2523
Kelantan,15672,Kota Bharu,6.122,102.2523
Kelantan,15673,Kota Bharu,6.1292,102.2387
Kelantan,15674,Kota Bharu,6.122,102.2523
Kelantan,15676,Kota Bharu,6.122,102.2523
Kelantan,15680,Kota Bharu,6.122,102.2523
Kelantan,15690,Kota Bharu,6.122,102.2523
Kelantan,15710,Kota Bharu,6.122,102.2523
Kelantan,15720,Kota Bharu,6.122,102.2492
Kelantan,15730,Kota Bharu,6.122,102.2523
Kelantan,15740,Kota Bharu,6.122,102.2523
Kelantan,15988,Kota Bharu,6.122,102.2523
Kelantan,15990,Kota Bharu,6.122,102.2523
Kelantan,16010,Kota Bharu,6.0064,102.218
Kelantan,16020,Bachok,6.0558,102.3487
Kelantan,16030,Bachok,6.0547,102.3868
Kelantan,16040,Wakaf Bharu,6.0573,102.1743
Kelantan,16050,Bachok,6.032,102.3251
Kelantan,16060,Bachok,6.0547,102.3868
Kelantan,16070,Bachok,6.0334,102.3499
Kelantan,16080,Tumpat,6.1411,102.1763
Kelantan,16090,Bachok,6.0338,102.3572
Kelantan,16100,Kota Bahru,6.122,102.2523
Kelantan,16109,Kota Bharu,6.122,102.2523
Kelantan,16150,Kota Bharu,6.0602,102.2341
Kelantan,16200,Tumpat,6.1174,102.1685
Kelantan,16210,Tumpat,6.1183,102.1386
Kelantan,16250,Wakaf Bharu,6.0864,102.2099
Kelantan,16300,Bachok,6.0269,102.3366
Kelantan,16310,Bachok,5.9932,102.3636
Kelantan,16320,Bachok,6.0547,102.3868
Kelantan,16400,Melor,5.92,102.2742
Kelantan,16450,Ketereh,5.9179,102.2274
Kelantan,16500,Kem Desa Pahlawan,5.8938,102.2273
Kelantan,16600,Pulai Chondong,5.8908,102.2376
Kelantan,16700,Cherang Ruku,5.8722,102.4363
Kelantan,16800,Pasir  Puteh,5.876,102.3841
Kelantan,16810,Selising,5.8899,102.2958
Kelantan,17000,Pasir Mas,6.0129,102.1459
Kelantan,17007,Pasir Mas,6.0427,102.1391
Kelantan,17009,Pasir Mas,6.0427,102.1391
Kelantan,17010,Pasir Mas,6.0377,102.1486
Kelantan,17020,Pasir Mas,6.0403,102.1465
Kelantan,17030,Pasir Mas,5.8931,102.1712
Kelantan,17040,Pasir Mas,6.0284,102.1551
Kelantan,17050,Pasir Mas,5.961,102.1484
Kelantan,17060,Pasir Mas,6.0061,102.1743
Kelantan,17070,Pasir Mas,6.0102,102.1486
Kelantan,17200,Rantau Panjang,5.9632,102.0073
Kelantan,17500,Tanah Merah,5.7687,102.1201
Kelantan,17507,Tanah Merah,5.8074,102.151
Kelantan,17509,Tanah Merah,5.8074,102.151
Kelantan,17510,Tanah Merah,5.7657,102.1153
Kelantan,17600,Jeli,5.728,101.9225
Kelantan,17610,Kuala Balah,5.4526,101.9212
Kelantan,17700,Ayer Lanas,5.8142,101.9253
Kelantan,18000,Kuala Krai,5.5693,102.1786
Kelantan,18050,Kuala Krai,5.5339,102.1996
Kelantan,18200,Dabong,5.4938,102.0523
Kelantan,18300,Gua Musang,5.0356,102.0247
Kelantan,18400,Temangan,5.7612,102.1769
Kelantan,18500,Machang,5.7573,102.2168
Terengganu,20000,Kuala Terengganu,5.2847,103.1475
Terengganu,20050,Kuala Terengganu,5.2886,103.104
Terengganu,20100,Kuala Terengganu,5.3134,103.1178
Terengganu,20200,Kuala Terengganu,5.3165,103.1246
Terengganu,20300,Kuala Terengganu,5.2937,103.1409
Terengganu,20400,Kuala Terengganu,5.2184,103.1682
Terengganu,20500,Kuala Terengganu,5.3046,103.1607
Terengganu,20502,Kuala Terengganu,5.3117,103.1199
Terengganu,20503,Kuala Terengganu,5.3117,103.1199
Terengganu,20504,Kuala Terengganu,5.3117,103.1199
Terengganu,20505,Kuala Terengganu,5.3117,103.1199
Terengganu,20506,Kuala Terengganu,5.3117,103.1199
Terengganu,20508,Kuala Terengganu,5.3117,103.1199
Terengganu,20512,Kuala Terengganu,5.3117,103.1199
Terengganu,20514,Kuala Terengganu,5.3117,103.1199
Terengganu,20516,Kuala Terengganu,5.3117,103.1199
Terengganu,20517,Kuala Terengganu,5.3117,103.1199
Terengganu,20518,Kuala Terengganu,5.3117,103.1199
Terengganu,20519,Kuala Terengganu,5.3117,103.1199
Terengganu,20520,Kuala Terengganu,5.3117,103.1199
Terengganu,20532,Kuala Terengganu,5.3117,103.1199
Terengganu,20534,Kuala Terengganu,5.3117,103.1199
Terengganu,20536,Kuala Terengganu,5.3117,103.1199
Terengganu,20538,Kuala Terengganu,5.3117,103.1199
Terengganu,20540,Kuala Terengganu,5.3117,103.1199
Terengganu,20542,Kuala Terengganu,5.3117,103.1199
Terengganu,20546,Kuala Terengganu,5.3117,103.1199
